Year,Yield
1961,2469.7
1962,2606.4
1963,2642.5
1964,2755.1
1965,2644.5
1966,2703.0
1967,2450.9
1968,2534.9
1969,2404.9
1970,2756.1
1971,3040.6
1972,3091.2
1973,3692.6
1974,3268.6
1975,3472.2
1976,3344.7
1977,3332.0
1978,3334.4
1979,3160.6
1980,3117.5
1981,3297.4
1982,3496.2
1983,3599.6
1984,3666.8
1985,3759.0
1986,3802.8
1987,4715.8
1988,4751.0
1989,4941.6
1990,5196.7
1991,4816.3
1992,5254.6
1993,5297.0
1994,5002.6
1995,5422.1
1996,5638.4
1997,5599.4
1998,5989.6
1999,6346.7
2000,6342.2
2001,6358.0
2002,6434.5
2003,6500.1
2004,6556.7
2005,6492.9
2006,6430.3
2007,6467.3
2008,6503.1
2009,6382.9
2010,5574.1
2011,6542.8
2012,6582.3
2013,6668.2
2014,6175.2
2015,6591.9
2016,6631.1
2017,6859.7
2018,6294.2
2019,6500.3
2020,6366.3
2021,6850.5
2022,6698.9
2023,6776.9
2024,6777.7
